adv_acc,adv_asr,attack_layer,baseline_acc,baseline_asr,clean_acc_validation,elapsed_seconds,rank_r,reft_layer,run_dir,train_inner_attack
0.5,0.15,6,0.55,0.1818,0.6639603067207939,16353.141280412674,4,6,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_7/seed42_Rrandom_L6_A6_r4_atklatent_pgd_task7,latent_pgd
0.45,0.2222,1,0.55,0.1818,0.6869643662607127,19452.594441652298,4,16,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_16/seed42_Rrandom_L16_A1_r4_atklatent_pgd_task16,latent_pgd
0.525,0.1429,16,0.55,0.1818,0.6801984663960307,15364.579698085785,4,21,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_24/seed42_Rrandom_L21_A16_r4_atklatent_pgd_task24,latent_pgd
0.55,0.1364,11,0.55,0.1818,0.6797474064050518,13961.593307733536,4,21,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_23/seed42_Rrandom_L21_A11_r4_atklatent_pgd_task23,latent_pgd
0.475,0.1053,1,0.55,0.1818,0.6580965268380695,12635.091783285141,4,11,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_11/seed42_Rrandom_L11_A1_r4_atklatent_pgd_task11,latent_pgd
0.5,0.15,16,0.55,0.1818,0.6765899864682002,10418.189992666245,4,1,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_4/seed42_Rrandom_L1_A16_r4_atklatent_pgd_task4,latent_pgd
0.5,0.2,21,0.55,0.1818,0.6842580063148399,12334.512771844864,4,11,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_15/seed42_Rrandom_L11_A21_r4_atklatent_pgd_task15,latent_pgd
0.525,0.0952,21,0.55,0.1818,0.6824537663509247,8087.893188714981,4,16,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_20/seed42_Rrandom_L16_A21_r4_atklatent_pgd_task20,latent_pgd
0.475,0.1579,6,0.55,0.1818,0.6612539467749211,11664.698810338974,4,11,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_12/seed42_Rrandom_L11_A6_r4_atklatent_pgd_task12,latent_pgd
0.5,0.2,11,0.55,0.1818,0.6833558863328822,10116.97902393341,4,16,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_18/seed42_Rrandom_L16_A11_r4_atklatent_pgd_task18,latent_pgd
0.475,0.3684,11,0.55,0.1818,0.6774921064501579,11397.915740966797,4,1,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_3/seed42_Rrandom_L1_A11_r4_atklatent_pgd_task3,latent_pgd
0.55,0.1818,16,0.55,0.1818,0.6833558863328822,22547.165895938873,4,6,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_9/seed42_Rrandom_L6_A16_r4_atklatent_pgd_task9,latent_pgd
0.45,0.1111,1,0.55,0.1818,0.501127649977447,23410.127641916275,4,1,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_1/seed42_Rrandom_L1_A1_r4_atklatent_pgd_task1,latent_pgd
0.525,0.0952,6,0.55,0.1818,0.6770410464591791,16471.63205552101,4,21,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_22/seed42_Rrandom_L21_A6_r4_atklatent_pgd_task22,latent_pgd
0.525,0.1905,21,0.55,0.1818,0.6829048263419035,9996.419512271881,4,6,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_10/seed42_Rrandom_L6_A21_r4_atklatent_pgd_task10,latent_pgd
0.475,0.0526,6,0.55,0.1818,0.6811005863779883,23268.65188074112,4,16,out/pythia410m/harmless/reft_att_heatmap/param_grid_task_17/seed42_Rrandom_L16_A6_r4_atklatent_pgd_task17,latent_pgd
